spi1,prob1,proj_score1,importance1,score1,xg1,nsxg1
37.24,0.2798,1.17,43.3,1.0,0.2,0.38
67.97,0.5132,1.76,17.4,2.0,1.75,2.08
53.35,0.386,1.21,32.1,0.0,1.3,1.44
57.73,0.5007,1.44,100.0,2.0,0.88,0.9
34.56,0.2229,1.33,16.4,3.0,1.73,0.96
87.84,0.7464,1.97,64.8,1.0,0.84,0.79
47.82,0.405,1.41,28.4,2.0,1.16,2.58
38.63,0.3081,0.93,20.4,1.0,0.46,0.46
82.23,0.8018,2.42,61.6,2.0,2.19,1.49
41.46,0.2082,0.86,18.8,1.0,1.08,0.26
70.69,0.4957,1.42,14.5,3.0,1.97,1.5
73.4,0.4871,1.48,77.1,1.0,1.53,0.78
22.88,0.4065,1.33,15.8,1.0,1.52,1.72
68.24,0.4788,1.27,27.1,3.0,1.63,0.57
36.58,0.506,1.67,23.7,1.0,0.91,0.67
86.5,0.6832,1.86,100.0,2.0,1.3,0.92
62.91,0.4509,1.41,31.7,1.0,0.73,0.97
45.02,0.4253,1.28,0.0,1.0,1.43,0.76
60.94,0.2548,1.11,9.3,0.0,0.4,0.61
43.98,0.3775,1.28,3.7,2.0,1.86,1.64
41.49,0.3126,1.13,73.0,1.0,1.67,1.12
39.43,0.5467,1.76,17.7,1.0,2.16,2.3
67.23,0.584,1.64,40.0,2.0,1.73,1.48
38.69,0.305,1.05,0.4,0.0,0.85,1.9
41.63,0.2832,1.12,54.8,1.0,1.87,1.36
80.7,0.6754,2.16,33.4,0.0,1.09,2.5
50.17,0.4023,1.28,20.7,1.0,1.2,0.84
62.42,0.5906,1.67,7.1,3.0,1.63,1.93
55.59,0.5315,1.68,0.2,2.0,1.58,2.06
47.65,0.419,1.27,0.0,0.0,0.6,1.04
73.51,0.6561,2.19,64.0,3.0,2.74,2.2
48.56,0.4732,1.35,0.0,3.0,2.19,1.54
24.61,0.3404,1.22,35.1,4.0,1.55,0.97
74.26,0.2644,1.17,8.9,1.0,0.55,1.25
